ProductName,product_total_sales
Canon imageCLASS 2200 Advanced Copier,61599.83
Fellowes PB500 Electric Punch Plastic Comb Binding Machine with Manual Bind,27453.38
Cisco TelePresence System EX90 Videoconferencing Unit,22638.48
HON 5400 Series Task Chairs for Big and Tall,21870.57
GBC DocuBind TL300 Electric Binding System,19823.48
GBC Ibimaster 500 Manual ProClick Binding System,19024.5
Hewlett Packard LaserJet 3310 Copier,18839.68
"HP Designjet T520 Inkjet Large Format Printer - 24"" Color",18374.9
GBC DocuBind P400 Electric Binding System,17965.07
High Speed Automatic Electric Letter Opener,17030.31
Lexmark MX611dhe Monochrome Laser Printer,16829.9
Martin Yale Chadless Opener Electric Letter Opener,16656.21
Ibico EPK-21 Electric Binding System,15875.92
"Riverside Palais Royal Lawyers Bookcase, Royale Cherry Finish",15610.97
"3D Systems Cube Printer, 2nd Generation, Magenta",14299.89
Samsung Galaxy Mega 6.3,13943.67
Apple iPhone 5,12996.6
Bretford Rectangular Conference Table Tops,12995.28
Global Troy Executive Leather Low-Back Tilter,12975.39
Canon PC1060 Personal Laser Copier,11619.83
SAFCO Arco Folding Chair,11572.78
Honeywell Enviracaire Portable HEPA Air Cleaner for 17' x 22' Room,11304.44
Cubify CubeX 3D Printer Double Head Print,11099.96
DMI Eclipse Executive Suite Bookcases,11046.6
Tennsco 6- and 18-Compartment Lockers,10925.0
Plantronics CS510 - Over-the-Head monaural Wireless Headset System,10822.36
"Hon Deluxe Fabric Upholstered Stacking Chairs, Rounded Back",10637.53
Logitech P710e Mobile Speakerphone,10196.61
Chromcraft Bull-Nose Wood Oval Conference Tables & Bases,9917.64
Tennsco Double-Tier Lockers,9630.86
Bush Advantage Collection Racetrack Conference Table,9544.72
Plantronics Savi W720 Multi-Device Wireless Headset System,9367.29
Bady BDG101FRU Card Printer,9279.89
Tennsco Single-Tier Lockers,9158.29
GuestStacker Chair with Chrome Finish Legs,9070.93
Canon Imageclass D680 Copier / Fax,8959.87
Hewlett Packard 610 Color Digital Copier / Printer,8899.82
Wilson Electronics DB Pro Signal Booster,8878.4
Office Star - Professional Matrix Back Chair with 2-to-1 Synchro Tilt and Mesh Fabric Seat,8774.5
Global Deluxe High-Back Manager's Chair,8665.21
Hon 4070 Series Pagoda Armless Upholstered Stacking Chairs,8431.0
Chromcraft Round Conference Tables,8209.07
"Hot File 7-Pocket, Floor Stand",8138.24
Fellowes PB300 Plastic Comb Binding Machine,8070.2
Cubify CubeX 3D Printer Triple Head Print,7999.98
Ibico Ibimaster 300 Manual Binding System,7985.38
Global Commerce Series High-Back Swivel/Tilt Chairs,7979.43
Okidata MB760 Printer,7834.4
Ativa V4110MDD Micro-Cut Shredder,7699.89
Mitel MiVoice 5330e IP Phone,7699.73
Hon 4700 Series Mobuis Mid-Back Task Chairs with Adjustable Arms,7582.38
"Atlantic Metals Mobile 3-Shelf Bookcases, Custom Colors",7539.71
Tennsco 16-Compartment Lockers with Coat Rack,7515.52
Hon 94000 Series Round Tables,7404.49
Logitech diNovo Edge Keyboard,7399.7
Bretford CR4500 Series Slim Rectangular Table,7242.78
Adjustable Depth Letter/Legal Cart,7185.81
Samsung Galaxy S III - 16GB - pebble blue (T-Mobile),7139.8
Zebra ZM400 Thermal Label Printer,6965.7
"Bevis Oval Conference Table, Walnut",6942.07
Hon GuestStacker Chair,6936.11
Hoover Upright Vacuum With Dirt Cup,6832.91
"Tennsco Snap-Together Open Shelving Units, Starter Sets and Add-On Units",6819.31
GBC DocuBind 300 Electric Binding Machine,6785.14
Bretford CR8500 Series Meeting Room Furniture,6776.57
Cisco Unified IP Phone 7945G VoIP phone,6751.61
Hon Every-Day Series Multi-Task Chairs,6748.48
ClearOne CHATAttach 160 - speaker phone,6695.9
Standard Rollaway File with Lock,6594.96
Hon Multipurpose Stacking Arm Chairs,6584.64
"Dual Level, Single-Width Filing Carts",6574.54
Balt Solid Wood Round Tables,6518.76
Hon Pagoda Stacking Chairs,6483.79
"Global Leather and Oak Executive Chair, Black",6410.87
Sharp AL-1530CS Digital Copier,6399.88
Polycom VVX 310 VoIP phone,6227.66
Samsung Galaxy S4,6134.7
Samsung Galaxy S4 Mini,6109.87
Global Comet Stacking Arm Chair,6084.14
Global Ergonomic Managers Chair,6008.54
Canon PC1080F Personal Copier,5999.9
Hon 5100 Series Wood Tables,5965.08
"Sanyo Counter Height Refrigerator with Crisper, 3.6 Cubic Foot, Stainless Steel/Black",5906.52
Hon 4070 Series Pagoda Round Back Stacking Chairs,5906.03
Global Leather Executive Chair,5861.53
"Office Impressions End Table, 20-1/2""H x 24""W x 20""D",5801.82
Zebra GX420t Direct Thermal/Thermal Transfer Printer,5787.36
Iceberg Mobile Mega Data/Printer Cart ,5751.77
"Global Leather Highback Executive Chair with Pneumatic Height Adjustment, Black",5707.85
Safco Contoured Stacking Chairs,5697.76
Canon PC940 Copier,5669.88
Bretford Just In Time Height-Adjustable Multi-Task Work Tables,5634.9
Logitech Z-906 Speaker sys - home theater - 5.1-CH,5609.83
Deluxe Rollaway Locking File with Drawer,5572.79
"Atlantic Metals Mobile 5-Shelf Bookcases, Custom Colors",5492.89
"Global High-Back Leather Tilter, Burgundy",5436.15
Hon Olson Stacker Chairs,5427.99
Ibico Hi-Tech Manual Binding System,5398.3
Wilson SignalBoost 841262 DB PRO Amplifier Kit,5327.26
Hon Olson Stacker Stools,5294.47
GE 30524EE4,5291.74
Hon 2090 Pillow Soft Series Mid Back Swivel/Tilt Chairs,5282.42
"Lifetime Advantage Folding Chairs, 4/Carton",5212.11
"Atlantic Metals Mobile 4-Shelf Bookcases, Custom Colors",5184.1
Razer Tiamat Over Ear 7.1 Surround Sound PC Gaming Headset,5119.74
"Chromcraft 48"" x 96"" Racetrack Double Pedestal Table",5098.17
Hoover Shoulder Vac Commercial Portable Vacuum,5009.49
Panasonic KX-TG9471B,4978.15
Chromcraft Rectangular Conference Tables,4952.67
Apple iPhone 5S,4901.91
O'Sullivan 2-Door Barrister Bookcase in Odessa Pine,4886.47
Brother DCP1000 Digital 3 in 1 Multifunction Machine,4859.83
Fellowes Staxonsteel Drawer Files,4829.25
Smead Adjustable Mobile File Trolley with Lockable Top,4778.77
High-Back Leather Manager's Chair,4770.65
SAFCO Boltless Steel Shelving,4704.71
Global Executive Mid-Back Manager's Chair,4626.58
DMI Arturo Collection Mission-style Design Wood Chair,4619.99
Polycom CX600 IP Phone VoIP phone,4619.23
Letter Size Cart,4600.09
KI Adjustable-Height Table,4552.62
"Bevis Round Bullnose 29"" High Table Top",4544.93
Fellowes Officeware Wire Shelving,4509.47
Samsung Galaxy Note 2,4507.9
"Fellowes Strictly Business Drawer File, Letter/Legal Size",4479.03
Sanyo 2.5 Cubic Foot Mid-Size Office Refrigerators,4476.96
"Riverside Furniture Oval Coffee Table, Oval End Table, End Table with Drawer",4446.18
Nortel Meridian M3904 Professional Digital phone,4434.91
Global Commerce Series Low-Back Swivel/Tilt Chairs,4420.06
Sharp 1540cs Digital Laser Copier,4399.91
Logitech G19 Programmable Gaming Keyboard,4389.25
"Tennsco Stur-D-Stor Boltless Shelving, 5 Shelves, 24"" Deep, Sand",4384.04
"Hon Practical Foundations 30 x 60 Training Table, Light Gray/Charcoal",4334.83
Bevis 36 x 72 Conference Tables,4332.26
GBC DocuBind TL200 Manual Binding Machine,4322.81
"Chromcraft Bull-Nose Wood 48"" x 96"" Rectangular Conference Tables",4297.65
Cisco 9971 IP Video Phone Charcoal,4268.0
Motorola L703CM,4211.73
GBC DocuBind 200 Manual Binding Machine,4209.81
Hewlett Packard 310 Color Digital Copier,4199.85
"SAFCO Commercial Wire Shelving, Black",4199.45
Office Star - Mid Back Dual function Ergonomic High Back Chair with 2-Way Adjustable Arms,4185.49
Fellowes PB200 Plastic Comb Binding Machine,4181.76
Cisco SPA301,4180.52
"Global Wood Trimmed Manager's Task Chair, Khaki",4166.89
Canon PC-428 Personal Copier,4119.8
Wireless Extenders zBoost YX545 SOHO Signal Booster,4044.39
Fellowes Super Stor/Drawer Files,4006.44
Samsung Galaxy S4 Active,3999.92
WD My Passport Ultra 2TB Portable External Hard Drive,3998.4
Canon imageCLASS MF7460 Monochrome Digital Laser Multifunction Copier,3991.98
Office Star - Contemporary Swivel Chair with Padded Adjustable Arms and Flex Back,3989.73
Polycom SoundStation2 EX Conference phone,3968.51
Hon Racetrack Conference Tables,3963.91
Canon Image Class D660 Copier,3959.93
"Global Airflow Leather Mesh Back Chair, Black",3955.67
Fellowes High-Stak Drawer Files,3946.66
Luxo Professional Fluorescent Magnifier Lamp with Clamp-Mount Base,3861.05
Honeywell Enviracaire Portable HEPA Air Cleaner for 16' x 20' Room,3855.18
Polycom SoundPoint IP 450 VoIP phone,3839.63
Google Nexus 5,3815.79
Hon Non-Folding Utility Tables,3775.66
Logitech VX Revolution Cordless Laser Mouse for Notebooks (Black),3743.8
"SAFCO PlanMaster Heigh-Adjustable Drafting Table Base, 43w x 30d x 30-37h, Black",3739.12
Aastra 57i VoIP phone,3684.72
"Office Star - Contemporary Task Swivel chair with Loop Arms, Charcoal",3680.53
Polycom VoiceStation 500 Conference phone,3657.38
"Situations Contoured Folding Chairs, 4/Set",3641.26
"Bush Heritage Pine Collection 5-Shelf Bookcase, Albany Pine Finish, *Special Order",3626.02
Toshiba IPT2010-SD IP Telephone,3613.74
"Bush Cubix Conference Tables, Fully Assembled",3603.29
Pyle PMP37LED,3590.02
Global Adaptabilities Conference Tables,3540.35
"24 Capacity Maxi Data Binder Racks, Pearl",3537.24
Global Comet Stacking Armless Chair,3528.79
Avanti 4.4 Cu. Ft. Refrigerator,3511.01
Hon Rectangular Conference Tables,3481.52
"Iceberg OfficeWorks 42"" Round Tables",3457.44
"Global Adaptabilites Bookcase, Cherry/Storm Gray Finish",3447.84
O'Sullivan Living Dimensions 5-Shelf Bookcases,3420.77
Geemarc AmpliPOWER60,3415.04
Hewlett-Packard Desktjet 6988DT Refurbished Printer,3404.5
Bush Advantage Collection Round Conference Table,3401.6
Fellowes Stor/Drawer Steel Plus Storage Drawers,3397.31
"Chromcraft Bull-Nose Wood Round Conference Table Top, Wood Base",3354.9
"Dot Matrix Printer Tape Reel Labels, White, 5000/Box",3322.87
"Bush Andora Bookcase, Maple/Graphite Gray Finish",3317.72
Tenex Antistatic Computer Chair Mats,3317.02
Bevis 44 x 96 Conference Tables,3253.22
Ibico EB-19 Dual Function Manual Binding System,3234.9
GBC ProClick 150 Presentation Binding System,3222.99
Okidata C331dn Printer,3210.8
Office Impressions Heavy Duty Welded Shelving & Multimedia Storage Drawers,3178.13
Jabra SPEAK 410,3158.07
"Global Fabric Manager's Chair, Dark Gray",3150.58
Hon 2111 Invitation Series Corner Table,3140.56
Economy Rollaway Files,3138.8
BlackBerry Q10,3099.36
Panasonic KX-TG9541B DECT 6.0 Digital 2-Line Expandable Cordless Phone With Digital Answering System,3059.8
Hoover WindTunnel Plus Canister Vacuum,3051.3
Digium D40 VoIP phone,3044.16
Hewlett-Packard Deskjet 3050a All-in-One Color Inkjet Printer,3040.0
"Acco 7-Outlet Masterpiece Power Center, Wihtout Fax/Phone Line Protection",3039.5
Space Solutions HD Industrial Steel Shelving.,3035.21
Carina Double Wide Media Storage Towers in Natural & Black,3028.65
Compact Automatic Electric Letter Opener,2982.75
"SAFCO PlanMaster Boards, 60w x 37-1/2d, White Melamine",2979.01
O'Sullivan Living Dimensions 2-Shelf Bookcases,2970.07
"Global Manager's Adjustable Task Chair, Storm",2959.21
GBC DocuBind P100 Manual Binding Machine,2954.44
O'Sullivan Plantations 2-Door Library in Landvery Oak,2946.36
3.6 Cubic Foot Counter Height Office Refrigerator,2946.19
Aastra 6757i CT Wireless VoIP phone,2929.98
Novimex Swivel Fabric Task Chair,2913.92
ShoreTel ShorePhone IP 230 VoIP phone,2906.62
O'Sullivan Living Dimensions 3-Shelf Bookcases,2904.16
Kensington 7 Outlet MasterPiece Power Center,2883.28
Logitech Wireless Gaming Headset G930,2879.82
Bose SoundLink Bluetooth Speaker,2865.6
"Lesro Round Back Collection Coffee Table, End Table",2847.79
Okidata MB491 Multifunction Printer,2844.3
Premier Automatic Letter Opener,2836.36
Logitech Wireless Headset h800,2799.72
Xerox 1915,2789.01
Electrix Halogen Magnifier Lamp,2759.06
Maxell iVDR EX 500GB Cartridge,2755.4
VTech DS6151,2746.57
Nortel Meridian M5316 Digital phone,2744.87
O'Sullivan 4-Shelf Bookcase in Odessa Pine,2740.2
"Carina Mini System Audio Rack, Model AR050B",2730.11
"1.7 Cubic Foot Compact ""Cube"" Office Refrigerators",2706.08
Hon Mobius Operator's Chair,2705.78
"GE 48"" Fluorescent Tube, Cool White Energy Saver, 34 Watts, 30/Box",2699.05
"Bevis Round Conference Table Top, X-Base",2671.43
Imation Bio 8GB USB Flash Drive Imation Corp,2659.84
Global Highback Leather Tilter in Burgundy,2647.82
Cisco 8x8 Inc. 6753i IP Business Phone System,2645.81
Premier Electric Letter Opener,2641.62
Vtech CS6719,2630.12
NETGEAR AC1750 Dual Band Gigabit Smart WiFi Router,2623.84
Razer Kraken 7.1 Surround Sound Over Ear USB Gaming Headset,2619.74
Fellowes Bankers Box Staxonsteel Drawer File/Stacking System,2612.19
Motorola Droid Maxx,2609.82
Hon Deluxe Fabric Upholstered Stacking Chairs,2586.19
"Electrix Architect's Clamp-On Swing Arm Lamp, Black",2577.42
"Stur-D-Stor Shelving, Vertical 5-Shelf: 72""H x 36""W x 18 1/2""D",2552.54
Bevis Boat-Shaped Conference Table,2542.47
Fellowes Powershred HS-440 4-Sheet High Security Shredder,2541.84
Xerox WorkCentre 6505DN Laser Multifunction Printer,2519.96
Safco Industrial Wire Shelving System,2511.04
Plantronics Calisto P620-M USB Wireless Speakerphone System,2508.67
Easy-staple paper,2504.18
Kensington 7 Outlet MasterPiece HOMEOFFICE Power Control Center,2491.28
Kensington 4 Outlet MasterPiece Compact Power Control Center,2488.39
"Rush Hierlooms Collection 1"" Thick Stackable Bookcases",2487.76
Sensible Storage WireTech Storage Systems,2484.31
Wi-Ex zBoost YX540 Cellular Phone Signal Booster,2481.15
Enermax Acrylux Wireless Keyboard,2450.16
Panasonic KX MB2061 Multifunction Printer,2396.4
Global Super Steno Chair,2389.9
Harbour Creations Steel Folding Chair,2389.13
Logitech Gaming G510s - Keyboard,2362.72
Swingline SM12-08 MicroCut Jam Free Shredder,2359.95
"3D Systems Cube Printer, 2nd Generation, White",2339.98
Logitech G700s Rechargeable Gaming Mouse,2339.76
StarTech.com 10/100 VDSL2 Ethernet Extender Kit,2330.65
"Fellowes Mobile File Cart, Black",2300.66
"Gould Plastics 18-Pocket Panel Bin, 34w x 5-1/4d x 20-1/2h",2299.74
"Lesro Sheffield Collection Coffee Table, End Table, Center Table, Corner Table",2298.12
Bevis Round Conference Table Top & Single Column Base,2297.54
Xiaomi Mi3,2279.96
"Tenex 46"" x 60"" Computer Anti-Static Chairmat, Rectangular Shaped",2267.97
GBC DocuBind P50 Personal Binding Machine,2264.89
Cisco IP Phone 7961G-GE VoIP phone,2252.44
Plantronics S12 Corded Telephone Headset System,2242.04
BPI Conference Tables,2241.87
Plantronics HL10 Handset Lifter,2227.01
Konftel 250 Conference phone - Charcoal black,2221.59
Avanti 1.7 Cu. Ft. Refrigerator,2221.56
Office Star - Ergonomic Mid Back Chair with 2-Way Adjustable Arms,2207.96
"Global Value Steno Chair, Gray",2204.85
Office Star - Mesh Screen back chair with Vinyl seat,2200.46
"3M Polarizing Task Lamp with Clamp Arm, Light Gray",2191.68
"Global Push Button Manager's Chair, Indigo",2185.96
Jabra Supreme Plus Driver Edition Headset,2159.82
Razer Kraken PRO Over Ear PC and Music Headset,2159.73
Logitech G35 7.1-Channel Surround Sound Headset,2157.83
Samsung Galaxy Note 3,2155.9
Sauder Inglewood Library Bookcases,2154.35
KI Conference Tables,2140.9
Mitel 5320 IP Phone VoIP phone,2116.68
Imation Bio 2GB USB Flash Drive Imation Corp,2098.88
Laminate Occasional Tables,2096.17
"Rubbermaid ClusterMat Chairmats, Mat Size- 66"" x 60"", Lip 20"" x 11"" -90 Degree Angle",2064.22
Cisco SPA 502G IP Phone,2063.14
"Tenex Chairmat w/ Average Lip, 45"" x 53""",2058.5
HTC One Mini,2041.03
Hon 2111 Invitation Series Straight Table,2040.06
"Bevis Traditional Conference Table Top, Plinth Base",2033.5
Global Enterprise Series Seating High-Back Swivel/Tilt Chairs,2032.35
Jawbone MINI JAMBOX Wireless Bluetooth Speaker,2027.31
Jawbone JAMBOX Wireless Bluetooth Speaker,2022.27
Jabra SPEAK 410 Multidevice Speakerphone,2018.7
Ooma Telo VoIP Home Phone System,2015.83
Okidata C610n Printer,2011.9
Logitech G602 Wireless Gaming Mouse,1999.74
Adtran 1202752G1,1990.65
"Ativa D5772 2-Line 5.8GHz Digital Expandable Corded/Cordless Phone System with Answering & Caller ID/Call Waiting, Black/Silver",1979.88
"Global Value Mid-Back Manager's Chair, Gray",1978.94
Space Solutions Commercial Steel Shelving,1952.43
Office Star Flex Back Scooter Chair with Aluminum Finish Frame,1947.18
Harmony Air Purifier,1946.7
AT&T 1080 Corded phone,1945.26
AT&T CL83451 4-Handset Telephone,1936.3
Logitech Mobile Speakerphone P710e - speaker phone,1916.71
Plantronics Audio 995 Wireless Stereo Headset,1913.13
"O'Sullivan Elevations Bookcase, Cherry Finish",1912.31
"Sauder Camden County Collection Libraries, Planked Cherry Finish",1909.82
Polycom SoundPoint Pro SE-225 Corded phone,1903.84
Bestar Classic Bookcase,1897.81
Novimex Fabric Task Chair,1890.39
NETGEAR N750 Dual Band Wi-Fi Gigabit Router,1890.0
Multicolor Computer Printout Paper,1887.3
Nortel Networks T7316 E Nt8 B27,1876.52
"Sauder Forest Hills Library, Woodland Oak Finish",1875.04
"Recycled Data-Pak for Archival Bound Computer Printouts, 12-1/2 x 12-1/2 x 16",1857.26
Office Star - Contemporary Task Swivel Chair,1842.26
"Padded Folding Chairs, Black, 4/Carton",1830.14
LG G3,1803.11
Logitech Wireless Performance Mouse MX for PC and Mac,1799.82
Xerox 189,1782.45
Belkin 5 Outlet SurgeMaster Power Centers,1776.05
Office Star Flex Back Scooter Chair with White Frame,1775.67
Bevis Steel Folding Chairs,1775.08
GE 2-Jack Phone Line Splitter,1771.52
Global Deluxe Steno Chair,1770.53
Tennsco Regal Shelving Units,1764.53
Honeywell Quietcare HEPA Air Cleaner,1761.76
"Global Geo Office Task Chair, Gray",1757.26
Global Low Back Tilter Chair,1746.95
Xerox 1941,1740.51
AT&T TR1909W,1738.67
Jabra BIZ 2300 Duo QD Duo Corded Headset,1727.07
First Data FD10 PIN Pad,1722.2
Xerox 1908,1712.99
"Sauder Facets Collection Locker/File Cabinet, Sky Alder Finish",1706.51
BoxOffice By Design Rectangular and Half-Moon Meeting Room Tables,1706.26
Kensington Orbit Wireless Mobile Trackball for PC and Mac,1703.72
Xerox 1945,1696.98
Kensington Expert Mouse Optical USB Trackball for PC or Mac,1690.83
"Global Leather & Oak Executive Chair, Burgundy",1689.97
Hon Comfortask Task/Swivel Chairs,1686.9
Staple envelope,1686.79
Deflect-o DuraMat Antistatic Studded Beveled Mat for Medium Pile Carpeting,1685.44
ClearOne Communications CHAT 70 OC Speaker Phone,1685.3
Polycom CX300 Desktop Phone USB VoIP phone,1679.88
"Eureka The Boss Plus 12-Amp Hard Box Upright Vacuum, Red",1674.4
Panasonic KX TS3282W Corded phone,1665.8
O'Sullivan Manor Hill 2-Door Library in Brianna Oak,1646.92
Enermax Aurora Lite Keyboard,1641.15
"Howard Miller 14-1/2"" Diameter Chrome Round Wall Clock",1636.87
"Carina 42""Hx23 3/4""W Media Storage Unit",1635.79
Imation Secure+ Hardware Encrypted USB 2.0 Flash Drive; 16GB,1634.96
Motorola Moto X,1631.95
"Deflect-o RollaMat Studded, Beveled Mat for Medium Pile Carpeting",1623.25
Panasonic KX MC6040 Color Laser Multifunction Printer,1619.82
Plantronics Audio 478 Stereo USB Headset,1619.68
"Hunt PowerHouse Electric Pencil Sharpener, Blue",1617.95
Logitech G600 MMO Gaming Mouse,1615.8
AT&T 841000 Phone,1614.6
"Iceberg Nesting Folding Chair, 19w x 6d x 43h",1589.41
AT&T 1080 Phone,1589.08
Mophie Juice Pack Helium for iPhone,1583.81
Deflect-o Glass Clear Studded Chair Mats,1579.37
Microsoft Sculpt Comfort Mouse,1574.03
GBC ProClick Punch Binding System,1573.91
"Hon Metal Bookcases, Black",1570.08
Xerox 1919,1565.81
Cameo Buff Policy Envelopes,1555.75
Luxo Adjustable Task Clamp Lamp,1545.82
Avaya 5420 Digital phone,1538.89
Eureka Sanitaire  Commercial Upright,1524.53
Harbour Creations 67200 Series Stacking Chairs,1501.9
LG G2,1499.97
Microsoft Natural Keyboard Elite,1497.0
Sony Micro Vault Click 16 GB USB 2.0 Flash Drive,1489.33
Hon 4-Shelf Metal Bookcases,1474.31
"Bush Westfield Collection Bookcases, Fully Assembled",1473.3
Kensington 7 Outlet MasterPiece Power Center with Fax/Phone Line Protection,1473.11
"Tenex ""The Solids"" Textured Chair Mats",1469.16
"Plantronics CS 50-USB - headset - Convertible, Monaural",1468.68
"Mini 13-1/2 Capacity Data Binder Rack, Pearl",1465.75
"Global Leather Task Chair, Black",1448.85
"SAFCO Commercial Wire Shelving, 72h",1445.26
Nokia Lumia 1020,1439.97
"Leather Task Chair, Black",1437.48
"Bush Andora Conference Table, Maple/Graphite Gray Finish",1436.24
Xerox 1893,1434.65
Eldon Antistatic Chair Mats for Low to Medium Pile Carpets,1431.94
"Sauder Facets Collection Library, Sky Alder Finish",1427.69
"Bush Westfield Collection Bookcases, Medium Cherry Finish",1426.88
Fellowes Bankers Box Stor/Drawer Steel Plus,1426.31
Global Deluxe Office Fabric Chairs,1420.5
Logitech Wireless Marathon Mouse M705,1409.71
Logitech 910-002974 M325 Wireless Mouse for Web Scrolling,1409.52
"Belkin 19"" Vented Equipment Shelf, Black",1400.26
Logitech G500s Laser Gaming Mouse with Adjustable Weight Tuning,1399.8
"Global Armless Task Chair, Royal Blue",1396.44
Hewlett-Packard Deskjet 6540 Color Inkjet Printer,1396.21
Avaya IP Phone 1140E VoIP phone,1394.95
Cisco CP-7937G Unified IP Conference Station Phone,1391.4
Cisco IP Phone 7961G VoIP phone - Dark gray,1386.69
Samsung Rugby III,1385.8
"Holmes Replacement Filter for HEPA Air Cleaner, Very Large Room, HEPA Filter",1383.09
Cisco SPA525G2 5-Line IP Phone,1379.92
"Belkin 325VA UPS Surge Protector, 6'",1379.18
Sauder Camden County Collection Library,1368.26
Safco Industrial Wire Shelving,1363.06
Ames Color-File Green Diamond Border X-ray Mailers,1360.48
Airmail Envelopes,1359.67
Plantronics Voyager Pro Legend,1359.54
